Game Name,Payout Amount,Display Name,Form Number,Manufacturer,Total Tickets,Deal Count,Total Deal Tickets,Total Payout,Ideal Profit,Ideal Percent,Card Type,URL,Active
Cotton Candy,280,Cotton Candy $280,6748U,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Cotton Candy,325,Cotton Candy $325,6771V,Arrow,500,1,500,325,175,35,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Cotton Candy,400,Cotton Candy $400,6749U,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Cotton Candy,599,Cotton Candy $599,6750U,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Cotton Candy,700,Cotton Candy $700,6751U,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6747U.PDF,TRUE
Crap Shoot,175,Crap Shoot $175,6916M,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Crap Shoot,200,Crap Shoot $200,6779P,Arrow,300,1,300,200,100,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Crap Shoot,280,Crap Shoot $280,6917M,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Crap Shoot,400,Crap Shoot $400,6918M,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Crap Shoot,599,Crap Shoot $599,6919M,Arrow,840,1,840,599,241,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Crap Shoot,700,Crap Shoot $700,6268P,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6916M.PDF,TRUE
Dabbin' Dachsund,200,Dabbin' Dachsund $200,,Arrow,300,1,300,200,100,33,Seal,,TRUE
Dabbin' Me Ma,200,Dabbin' Me Ma $200,,Arrow,300,1,300,200,100,33,Seal,,TRUE
Day Dabbin',200,Day Dabbin' $200,,Arrow,300,1,300,200,100,33,Seal,,TRUE
Dig Life,200,Dig Life $200,,Arrow,300,1,300,200,100,33,Seal,,TRUE
Double Bubble,140,Double Bubble $140,5595Y,Arrow,200,1,200,140,60,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF,TRUE
Double Bubble,175,Double Bubble $175,5596Y,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF,TRUE
Double Bubble,280,Double Bubble $280,5597Y,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF,TRUE
Double Bubble,425,Double Bubble $425,5102Z,Arrow,600,1,600,425,175,29,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C5594Y.PDF,TRUE
Dumbo Dab,175,Dumbo Dab $175,6219H,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Fire Fighters,140,Fire Fighters $140,,Arrow,225,1,225,140,85,38,Seal,,TRUE
Fire Fighters,599,Fire Fighters $599,5991FF,Arrow,960,1,960,599,361,38,Seal,,TRUE
Flamingo Bingo,140,Flamingo Bingo $140,,Arrow,230,1,230,140,90,39,Seal,,TRUE
Funky Chicken,280,Funky Chicken $280,,Arrow,445,1,445,280,165,37,Seal,,TRUE
Gator Dab,175,Gator Dab $175,6219H,Arrow,250,1,250,175,75,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Gator Dab,280,Gator Dab $280,6220H,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Gator Dab,280,Gator Dab $280 (2),6220H,Arrow,400,1,400,280,120,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Gator Dab,400,Gator Dab $400,6221H,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Gator Dab,400,Gator Dab $400 (2),6221H,Arrow,600,1,600,400,200,33,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
Gator Dab,700,Gator Dab $700,6222H,Arrow,1000,1,1000,700,300,30,Seal,https://www.arrowinternational.com/db/grafix/AIPDF/C6219H.PDF,TRUE
